Longitude,Latitude
77.599253352,12.9767242342
77.5780635655,12.9838047631
77.5950591314,12.9063366994
77.6186010476,12.9460245919
77.6276760503,12.9409154866
77.6175021801,12.9653851956
77.5857315819,12.9555333581
77.507655495,12.9717296258
77.5042672783,12.9605365999
77.5122933696,12.9879160866
77.641716744,12.9618432548
77.5905259467,12.9517088633
77.5800210751,12.9483418528
77.6015745524,12.9363251373
77.5943104598,13.0952415791
77.5675897907,12.9691526935
77.5875576634,12.9677997705
77.6100786637,12.883086725
77.5963311691,12.8720169969
77.6006336838,12.8663639899
77.5942766808,12.8732224822
77.6493799828,12.9474199273
77.6688943945,12.9967718188
77.5948612347,12.9624263
77.6010376915,12.9653934937
77.6054467402,12.9548745405
77.6014596365,12.9654441204
77.6024211246,12.9694330681
77.6070252202,12.9719195597
77.6105911333,12.9736792565
77.6070559818,12.9723485455
77.6079761471,12.9751768511
77.6062971681,12.9679156922
77.6015067428,12.9729576584
77.5993473969,12.973297796
77.6010481689,12.9730446626
77.5939470205,12.972158863
77.6059393447,12.9714254465
77.6040199727,12.9367777601
77.5799950912,12.9552311905
77.5281537745,12.9127789464
77.5213073521,12.9028428707
77.5210310846,12.9095469683
77.5274621836,12.9079966515
77.5142738457,12.9277889233
77.5112057339,12.9279486824
77.5190504409,12.9308407743
77.5138149365,12.9197973654
77.5183276694,12.936419769
77.5073022816,12.9209319398
77.5334669791,12.938448441
77.527735769,12.9114944197
77.6006094601,12.9073476408
77.5575830556,12.9607419565
77.5602515183,12.9219517659
77.5181025315,12.924750232
77.5145629376,12.9295833211
77.5828476205,12.9436510883
77.5849283442,12.9366065178
77.5607288677,12.9352452967
77.5537161484,12.9441826686
77.5744705788,12.9208796367
77.5851696592,12.9435579654
77.5695948258,12.9155195773
77.5572571672,12.9379224766
77.5538291365,12.9187782936
77.5955325413,12.9459311336
77.5971524279,12.9269603722
77.5805680781,12.9330241762
77.5839156426,12.9329141218
77.5761767991,12.9309458833
77.583858981,12.9307804246
77.5925853803,12.931537981
77.5897247206,12.9271254957
77.5882061712,12.9278656177
77.5478101756,12.9389841285
77.5849046234,12.9307687737
77.5672611363,12.9604436446
77.5650920674,12.9417756375
77.5685281448,12.9604787648
77.59276249,12.9896409985
77.5642862312,12.9417474743
77.6096749913,12.9926877365
77.5575477678,12.960856621
77.5445698995,12.9318091355
77.6000413347,12.9922892608
77.5620154898,12.961636138
77.5592078875,12.9612967547
77.5999248262,12.9918411643
77.597172796,12.9843651772
77.5592687402,12.9569178809
77.5800846938,12.9589313816
77.577640447,12.9588662543
77.5839869726,12.9638569232
77.5873472776,12.9674708646
77.5566328831,12.948738233
77.5736426983,12.9210612726
77.5930389251,12.9486222275
77.5903674449,12.9514775228
77.5952281944,12.9512696516
77.5935100719,12.9544453871
77.5737360727,12.9483590357
77.5587700169,12.9125218734
77.5765618637,12.9527560983
77.5770863194,12.9527371552
77.5821330633,12.9577463482
77.5582702879,12.9434697878
77.5551934588,12.9644362804
77.5932422701,13.0056762498
77.5642177511,12.9466429249
77.5717971708,12.9589002848
77.5627112716,12.9334595323
77.5548605296,12.9478702869
77.5714194823,12.9326378543
77.5682568226,12.9476193328
77.5710630838,12.9449807935
77.573278756,12.9169083748
77.7523625597,12.983749694
77.7448460881,12.9863686197
77.6230886347,12.981525556
77.6416196816,12.9618808896
77.7336959776,12.9878402304
77.7317120649,12.9865116988
77.6592907451,12.9947976291
77.6466617316,12.9785674986
77.7352091625,12.9698602937
77.6143038973,12.9683697399
77.7034676496,12.9568037193
77.5756567858,12.9770875897
77.5799366694,12.9767471168
77.6043585177,12.9818406318
77.6982867952,12.9731973808
77.6185802605,12.9378141824
77.5535148989,12.9577969749
77.5702163439,12.9234629393
77.6468991909,12.9731390428
77.6288444876,12.9241526861
77.5603408694,12.9345729843
77.6331783507,12.9298523802
77.5819039859,12.9634135205
77.6269276302,12.9373181414
77.6234304488,12.933508734
77.6096250351,12.9668232788
77.6688365593,12.9189288326
77.6601273429,12.8451455373
77.653426598,12.8699126363
77.6565278184,12.88962989
77.6122736327,12.9344384547
77.6633057605,12.8576283704
77.4145432796,12.8341987718
77.6622786421,12.8580768861
77.663042485,12.8581872757
77.5271985728,12.8580567695
77.6776325285,12.9139527481
77.5270999178,12.8579175461
77.5279269602,12.8576289572
77.622497962,12.9315405794
77.6991043661,12.9727395613
77.6135448321,12.7714116953
77.6695116378,12.9186390702
77.6632687963,12.89423935
77.6713584226,12.8757649649
77.6584673907,12.8703684442
77.6416433185,12.9633650731
77.5851559967,12.9438764777
77.6411923721,12.9702000961
77.5834509499,12.882234956
77.6147119283,12.9763034627
77.6630068619,12.8582654789
77.5831600979,12.8706042271
77.6758159187,12.9305761576
77.5976746205,12.8557215713
77.680423367,12.9439135257
77.6586143255,12.9714791745
77.6531127795,13.1958592859
77.5389737218,12.9338147573
77.5456842735,12.9775533721
77.6419280518,12.960539785
77.5883780841,12.9677695956
77.5449112944,12.9750443332
77.542152391,12.9737298832
77.607590831,12.9806752958
77.6024199512,12.9793179304
77.6144678473,12.9806878686
77.6159296512,12.9808816582
77.6375454899,12.9822611518
77.6289668634,12.9691776715
77.6252963442,12.9750494462
77.8016726256,13.0774193898
77.6762315772,12.9300137319
77.6009576443,12.8999179218
77.7956651479,12.9079593521
77.5280005533,12.8577773169
77.6602414206,12.8507742368
77.5964275609,12.8843815614
77.662288868,12.8579934861
77.5983897645,12.9930732202
77.5935304399,12.8710441932
77.6017610498,12.9847539298
77.6053516894,12.9855323572
77.6042887803,12.9922032625
77.5894963976,12.9859412264
77.5747449185,12.9807759624
77.6243732452,12.9352206539
77.5839551214,13.0145242706
77.6785085212,12.930722338
77.571580331,13.0084634841
77.5690350823,13.0119299878
77.4686835847,12.8476371419
77.557352218,13.0347560894
77.6589470871,12.8390178632
77.616044651,13.0005342875
77.6103006165,12.9703886889
77.678616564,12.9304636724
77.7047458898,12.8025367193
77.623665645,13.0096247968
77.6416879941,12.9609833554
77.7087713826,12.9563269567
77.5739570196,12.9890266888
77.6406028729,12.9841436435
77.5875254769,12.9292595282
77.6417813685,13.0416030985
77.6016081638,12.9845999543
77.4703938282,12.9030353192
77.6414408956,12.9594074737
77.5801196463,12.9272472847
77.6225702978,12.9172808666
77.5800286188,12.9367886566
77.5837929316,12.928694085
77.7039943684,12.9034200486
77.5860680315,12.9286343221
77.5859721426,12.9263022252
77.5858343441,12.9329229228
77.5746977284,12.9742899619
77.5220524195,12.8489585489
77.6172472864,12.9363466788
77.6195599373,12.9337006796
77.6616504185,12.9668072693
77.6269922547,12.9372443807
77.6628873359,12.9968874891
77.5748689707,12.9219226807
77.6000461962,12.9106393818
77.6001863416,12.9205797322
77.6798108175,12.9545474786
77.6955713939,12.9071798351
77.6020681627,12.9384944577
77.6323280904,12.9166130804
77.6075135499,12.9360505462
77.6097443934,12.9348021455
77.6487459756,12.9035427596
77.6013683576,12.9559537944
77.779763588,12.7948690381
77.6100847825,12.913958364
77.7826021195,12.8000000201
77.7799105227,12.7951933339
77.6150756191,12.929516685
77.3970918219,12.805886966
77.534504072,12.9565515917
77.5325879689,13.0220081367
77.500238768,12.9519777548
77.5372921444,13.0304730207
77.6294643294,12.7886256937
77.5121207863,12.9875336204
77.4853224169,12.9130242847
77.5285104245,13.0209783361
77.4722788345,12.9838267237
77.3969000439,12.9990873195
77.5488441672,13.006003647
77.6210091684,13.0748248555
77.7503506515,13.0463403825
77.5838095277,13.1042418991
77.5908293716,13.0985439651
77.5770920191,13.0995112367
77.5934223972,13.0817684241
77.5925854642,13.0725653459
77.5600569743,13.0828813732
77.5508771978,13.0533830252
77.5533246297,13.0189594709
77.5352260891,12.9545989435
77.8345936399,13.2063888841
77.7873107374,13.1355979283
77.5121912781,12.9874343787
77.6497859184,12.923995693
77.5682457585,12.971865245
77.5479153685,13.0420026638
77.3928448792,13.0837840204
77.4795172784,12.9855993286
77.5670380938,13.0977641967
77.5728900872,13.1080090616
77.4072807796,12.8153871827
77.6091979772,12.9245868687
77.5778835222,13.1064300787
77.6106670733,13.1219167345
77.5669201605,13.1023997244
77.7726352822,13.1755940233
77.7256196786,13.156093777
77.5709672786,13.0981455733
77.5768430765,13.1023937732
77.6680486604,13.1345928543
77.827464496,13.0603276834
77.5950674295,12.9169534694
77.7559433926,13.0891638611
77.7441611189,13.102727373
77.7475405347,13.1350950979
77.7456470627,12.9573483754
77.7696591199,13.1691734855
77.7998865258,12.9652422842
77.5916433383,12.9168790381
77.8018885434,13.1587014709
77.7847573582,13.0514254317
77.6229782451,12.917316825
77.5810796257,12.8137545556
77.5762258332,12.7507111605
77.6526484221,12.8146136168
77.6513009474,12.8227152292
77.598137553,12.8444581374
77.6598255943,12.8400904953
77.6550959378,12.85075236
77.6642064799,12.8559723578
77.528525931,12.9992887367
77.790428051,12.8974156722
77.8159344338,12.9589131929
77.5849982492,12.9365355231
77.6230240941,12.8257371567
77.7986077827,12.8603240743
77.6275920637,12.8126833483
77.4798023469,13.0011813704
77.786975126,13.0723265455
77.601737329,12.9059706617
77.6129421733,12.9196371872
77.6088618628,12.9439835984
77.7533919413,13.1493930322
77.6202059306,12.9524180561
77.6175684809,12.953658494
77.614234076,12.9684334424
77.5858224418,12.9171586584
77.6117920924,12.9559922673
77.597292741,12.9647918407
77.6422520961,12.9604863923
77.6426923975,12.9604353465
77.6422282915,12.9606698722
77.7149052594,12.9563483305
77.5734431252,12.9894271761
77.590467944,12.9869713623
77.6033641726,12.9502489872
77.6413019236,12.9581369449
77.6034261986,12.9505014502
77.6799111489,12.9834295891
77.5995215729,12.9905574758
77.6427234944,12.9606032361
77.6051738254,12.9519353423
77.6138854727,12.9665000726
77.747613122,12.9613308691
77.6799026832,12.9546091695
77.716440824,12.9606439721
77.7171626736,12.9605687864
77.724654251,12.9765967455
77.7274291638,12.9801929172
77.691764082,12.9557500303
77.714233366,12.9643332668
77.5929321397,13.0672537338
77.5532491926,12.9386044283
77.6573410306,12.9593079806
77.5731768321,12.99692965
77.708131592,12.9849203944
77.7219981935,12.958892322
77.7355751164,12.9693431303
77.5917096391,12.8349483654
77.6875388484,12.9913474702
77.6002364654,13.1036265836
77.5917628642,13.047010348
77.6798568342,12.954526021
77.6360514995,13.004865636
77.6106076456,13.1628425502
77.6386318683,13.0025093992
77.6436230402,13.0445874751
77.6419956937,13.0421307393
77.7499196541,12.9698347289
77.6016105946,12.9758136243
77.5975611295,12.9656667438
77.6370157536,13.0048749399
77.6312882315,13.0247118872
77.6274310473,13.0454736937
77.6434095532,13.0448633235
77.6414206952,13.0396039307
77.6275442868,13.0456047867
77.5973863668,13.0990564347
77.6510682657,12.9882764247
77.5937713358,13.042159573
77.6186892252,13.00140852
77.6109174408,13.0014583923
77.6084790613,12.998304366
77.6071574867,12.9963471916
77.6164254408,12.9908832804
77.6197445906,12.9997132801
77.6138723969,12.9905474175
77.6195080533,13.0036409561
77.5895978186,13.0429402635
77.6200918529,12.9999104224
77.62020526,13.0000266794
77.6489104286,13.0378826231
77.6621171228,13.01451899
77.6122410271,13.0478376419
77.6492488898,13.0378218543
77.7006766435,12.955539896
77.6699643444,12.9972639203
77.5237460669,12.9980436888
77.6236270882,12.9983263266
77.6178485203,12.9984490376
77.7011600278,12.958962227
77.6351625986,13.0030424882
77.6364757914,13.0040986918
77.6366299346,13.0046222255
77.653102386,12.9792817205
77.6116012364,13.0563954812
77.589529087,13.0396148272
77.5808463573,12.8136159189
77.6143549431,12.9844562885
77.636988261,13.0263026886
77.6557049669,13.019196092
77.678878247,13.0003882747
77.698023352,12.995010278
77.6313247766,12.9816248816
77.5677869331,12.9749414873
77.5722007595,12.9803159636
77.5724246401,12.9803562805
77.7363752529,12.9212404776
77.6271199949,13.0145139609
77.6312694561,13.0292062637
77.6405127674,12.9614417616
77.6199640289,13.0260113336
77.6131780401,13.0084921502
77.6422158863,12.9607349996
77.653857344,13.0182019983
77.6639217466,12.9894469574
77.6811118565,13.0519830797
77.6517530672,13.0647070602
77.621217291,13.0065435253
77.6371903486,13.0227584847
77.6432727605,13.0241219689
77.6325488698,13.0276723754
77.6667137585,13.1334150293
77.6406251687,12.9606283818
77.6416553885,12.960747321
77.6416845575,12.9624219414
77.6408399969,12.9610907275
77.6114970494,12.9051249277
77.6544602543,13.0610292487
77.6019545879,12.9054475471
77.6161756601,12.9417474743
77.6101252671,12.9165107373
77.5704484388,13.0377776817
77.5661384642,13.0371504639
77.566717067,13.0324670755
77.6577061463,13.1992878196
77.6151986655,12.916360366
77.721919236,12.9803646624
77.605861393,12.9056794744
77.5720256615,12.8918949317
77.6162039909,13.0021998555
77.6125077393,13.0068367243
77.7272463545,12.9801709566
77.5819175645,12.8882350575
77.6323153499,13.0557962589
77.792059337,12.7642687212
77.8042974185,12.7514092892
77.6156550601,12.9353505734
77.6325001709,13.0559639808
77.5955146879,13.1606035762
77.5712232619,12.8972203739
77.6407517355,13.0663598877
77.5956661489,13.0967125193
77.595219142,13.0961673603
77.5955778874,13.0967951648
77.6460694663,13.0528182526
77.6171391599,13.0657257967
77.6206008859,13.0653391395
77.6203221876,13.00522874
77.6609036747,12.9839888297
77.6615163918,12.9874345463
77.6638623189,12.9854974885
77.5490647789,13.0285903614
77.5584277,13.0183203508
77.5387707959,13.0434601929
77.5165030967,13.0500166852
77.5273537218,13.035159259
77.5191108744,13.0299371656
77.595119565,13.0962528557
77.6005828894,13.1035552536
77.6349295817,13.1016827364
77.5973814215,13.0990414311
77.5730072662,12.9399564292
77.6489096742,13.0618193269
77.5994548529,13.0011424784
77.6641519975,13.0550096173
77.6709646407,13.0545218744
77.6737325966,13.0711216469
77.6520707413,13.0602719438
77.6519501258,13.0600051478
77.6515411727,13.0568826374
77.6469242528,13.0551283889
77.6467298765,13.0548464217
77.6587638587,13.0578019645
77.669669972,13.0523617741
77.6820814751,13.0523797952
77.6867295757,13.06172897
77.6200125601,12.9746975739
77.663949826,13.0550734874
77.6329893388,12.9687796988
77.5523409295,13.0122694549
77.5689407859,13.0120952789
77.5605756465,12.9831692472
77.5558560483,13.0159613479
77.5544333879,13.0081725482
77.5550109848,13.0154301867
77.5581720519,13.0078142219
77.5607265208,13.007718752
77.5584585454,13.0183735758
77.5588586975,13.0181186822
77.5555936947,13.020007544
77.531026588,13.0073082902
77.5694069873,12.9968528718
77.6411172703,12.973855025
77.5731301449,12.9992863898
77.5721729315,12.9850767169
77.5819802612,12.9985429988
77.5743878495,12.9989482638
77.573189824,12.9968593259
77.5712860424,12.9992892396
77.5622562181,13.008979474
77.5781010326,12.9992747389
77.5713231742,12.9969600763
77.5588113397,13.0180583325
77.5664726507,12.9968075257
77.5887135278,12.9866081745
77.5996577788,12.9651949264
77.5900577336,12.9677417677
77.5940331865,12.9716416996
77.5949601412,12.9671758216
77.5984805405,12.9650438845
77.5944524493,12.9620703206
77.596955537,12.965300287
77.5935611177,12.9717503291
77.5536413818,13.0171661627
77.570193126,12.9813882604
77.5743673976,12.9806618847
77.5710049972,12.9800690327
77.5769893408,12.9832998373
77.5818524372,12.9796401307
77.5712213341,12.9800735589
77.572980947,12.9804358248
77.5957071364,12.9935658247
77.5904471568,12.9513975594
77.5674680855,12.9633085791
77.5798860427,12.9635834217
77.5842251863,12.9653159611
77.5799333166,12.9636488844
77.5768810466,12.9643166706
77.5673611324,12.9633362394
77.5755148802,12.9745413352
77.6021614533,12.9891726177
77.585241995,12.96384544
77.5933614608,12.9592798174
77.581047523,12.973055559
77.5867286931,12.9655331362
77.5874002512,12.966849095
77.5879199292,12.9668499332
77.5702194452,12.9679615412
77.5885546908,12.9904750817
77.575151357,12.9814971414
77.5844554372,12.997086224
77.5705600857,12.9747835722
