name,pointA_Longitude,pointA_Latitude,pointB_Longitude,pointB_Latitude
,77.599253352,12.9767242342,77.6017542604,12.976646534
,77.5780635655,12.9838047631,77.5784438524,12.9844673526
,77.5950591314,12.9063366994,77.5945186663,12.8974781174
,77.6186010476,12.9460245919,77.6215383179,12.9516896688
,77.6276760503,12.9409154866,77.6271123674,12.940771234
,77.6175021801,12.9653851956,77.611176693,12.9671519332
,77.5857315819,12.9555333581,77.5854339406,12.9543591373
,77.507655495,12.9717296258,77.5082721516,12.9669512704
,77.5042672783,12.9605365999,77.5122931182,12.9879160866
,77.5122933696,12.9879160866,77.5042467426,12.9603707221
,77.5042672783,12.9605365999,77.512597046,12.9607753165
,77.641716744,12.9618432548,77.6415116388,12.9594004329
,77.5905259467,12.9517088633,77.5935408335,12.9595572584
,77.5800210751,12.9483418528,77.5745130751,12.94830053
,77.6015745524,12.9363251373,77.6013215866,12.9346486729
,77.5943104598,13.0952415791,77.5822516672,13.1058734365
,77.5675897907,12.9691526935,77.568058842,12.973292264
,77.5875576634,12.9677997705,77.5883780841,12.9677695956
,77.6100786637,12.883086725,77.6088685684,12.8767982859
,77.5963311691,12.8720169969,77.6021795582,12.8718195192
,77.6006336838,12.8663639899,77.6021795582,12.8718195192
,77.5942766808,12.8732224822,77.6005726635,12.907268348
,77.6493799828,12.9474199273,77.6523420635,12.9518803571
,77.6688943945,12.9967718188,77.678878247,13.0003882747
,77.5948612347,12.9624263,77.6018838446,12.9599444185
,77.6010376915,12.9653934937,77.6010536171,12.963571268
,77.6054467402,12.9548745405,77.6013683576,12.9559537944
,77.6014596365,12.9654441204,77.6003844898,12.9680219747
,77.6024211246,12.9694330681,77.6038337268,12.9657686677
,77.6070252202,12.9719195597,77.6062971681,12.9679156922
,77.6105911333,12.9736792565,77.6108476195,12.973436768
,77.6070559818,12.9723485455,77.6074107878,12.9721293587
,77.6079761471,12.9751768511,77.6079427872,12.9750845663
,77.6062971681,12.9679156922,77.6015067428,12.9729576584
,77.6015067428,12.9729576584,77.6003844898,12.9680219747
,77.5993473969,12.973297796,77.6012680262,12.9732034996
,77.6010481689,12.9730446626,77.6011926729,12.9726488691
,77.5939470205,12.972158863,77.5976772189,12.971148257
,77.6059393447,12.9714254465,77.6069497831,12.9713727243
,77.6040199727,12.9367777601,77.5989299781,12.9379682418
,77.5799950912,12.9552311905,77.5821330633,12.9577463482
,77.5800210751,12.9483418528,77.5802938223,12.9170990631
,77.5281537745,12.9127789464,77.5134476415,12.9155660968
,77.5213073521,12.9028428707,77.5210310846,12.9095469683
,77.5210310846,12.9095469683,77.5206444274,12.922313948
,77.5274621836,12.9079966515,77.5272311784,12.9094209883
,77.5142738457,12.9277889233,77.5112057339,12.9279486824
,77.5112057339,12.9279486824,77.5158445306,12.9261773348
,77.5190504409,12.9308407743,77.5181196305,12.9200321425
,77.5138149365,12.9197973654,77.5041535358,12.9236615904
